Symbol_original,Symbol_yfinance,Company Name,Sector
GDDY,GDDY,GoDaddy,Information Technology
GS,GS,Goldman Sachs,Financials
HAL,HAL,Halliburton,Energy
HIG,HIG,Hartford (The),Financials
HAS,HAS,Hasbro,Consumer Discretionary
HCA,HCA,HCA Healthcare,Health Care
DOC,DOC,Healthpeak Properties,Real Estate
HSIC,HSIC,Henry Schein,Health Care
HSY,HSY,Hershey Company (The),Consumer Staples
HPE,HPE,Hewlett Packard Enterprise,Information Technology
HLT,HLT,Hilton Worldwide,Consumer Discretionary
HOLX,HOLX,Hologic,Health Care
HD,HD,Home Depot (The),Consumer Discretionary
HON,HON,Honeywell,Industrials
HRL,HRL,Hormel Foods,Consumer Staples
HST,HST,Host Hotels & Resorts,Real Estate
HWM,HWM,Howmet Aerospace,Industrials
HPQ,HPQ,HP Inc.,Information Technology
HUBB,HUBB,Hubbell Incorporated,Industrials
HUM,HUM,Humana,Health Care
HBAN,HBAN,Huntington Bancshares,Financials
HII,HII,Huntington Ingalls Industries,Industrials
IBM,IBM,IBM,Information Technology
IEX,IEX,IDEX Corporation,Industrials
IDXX,IDXX,Idexx Laboratories,Health Care
ITW,ITW,Illinois Tool Works,Industrials
INCY,INCY,Incyte,Health Care
IR,IR,Ingersoll Rand,Industrials
PODD,PODD,Insulet Corporation,Health Care
INTC,INTC,Intel,Information Technology
ICE,ICE,Intercontinental Exchange,Financials
IFF,IFF,International Flavors & Fragrances,Materials
IP,IP,International Paper,Materials
IPG,IPG,Interpublic Group of Companies (The),Communication Services
INTU,INTU,Intuit,Information Technology
ISRG,ISRG,Intuitive Surgical,Health Care
IVZ,IVZ,Invesco,Financials
INVH,INVH,Invitation Homes,Real Estate
IQV,IQV,IQVIA,Health Care
IRM,IRM,Iron Mountain,Real Estate
JBHT,JBHT,J.B. Hunt,Industrials
JBL,JBL,Jabil,Information Technology
JKHY,JKHY,Jack Henry & Associates,Financials
J,J,Jacobs Solutions,Industrials
JNJ,JNJ,Johnson & Johnson,Health Care
JCI,JCI,Johnson Controls,Industrials
JPM,JPM,JPMorgan Chase,Financials
K,K,Kellanova,Consumer Staples
KVUE,KVUE,Kenvue,Consumer Staples
KDP,KDP,Keurig Dr Pepper,Consumer Staples
KEY,KEY,KeyCorp,Financials
KEYS,KEYS,Keysight Technologies,Information Technology
KMB,KMB,Kimberly-Clark,Consumer Staples
KIM,KIM,Kimco Realty,Real Estate
KMI,KMI,Kinder Morgan,Energy
KKR,KKR,KKR & Co.,Financials
KLAC,KLAC,KLA Corporation,Information Technology
KHC,KHC,Kraft Heinz,Consumer Staples
KR,KR,Kroger,Consumer Staples
LHX,LHX,L3Harris,Industrials
LH,LH,Labcorp,Health Care
LRCX,LRCX,Lam Research,Information Technology
LW,LW,Lamb Weston,Consumer Staples
LVS,LVS,Las Vegas Sands,Consumer Discretionary
LDOS,LDOS,Leidos,Industrials
LEN,LEN,Lennar,Consumer Discretionary
LII,LII,Lennox International,Industrials
LLY,LLY,Lilly (Eli),Health Care
LIN,LIN,Linde plc,Materials
LYV,LYV,Live Nation Entertainment,Communication Services
LKQ,LKQ,LKQ Corporation,Consumer Discretionary
LMT,LMT,Lockheed Martin,Industrials
L,L,Loews Corporation,Financials
LOW,LOW,Lowe's,Consumer Discretionary
LULU,LULU,Lululemon Athletica,Consumer Discretionary
LYB,LYB,LyondellBasell,Materials
MTB,MTB,M&T Bank,Financials
MPC,MPC,Marathon Petroleum,Energy
MKTX,MKTX,MarketAxess,Financials
MAR,MAR,Marriott International,Consumer Discretionary
MMC,MMC,Marsh McLennan,Financials
MLM,MLM,Martin Marietta Materials,Materials
MAS,MAS,Masco,Industrials
MA,MA,Mastercard,Financials
MTCH,MTCH,Match Group,Communication Services
MKC,MKC,McCormick & Company,Consumer Staples
MCD,MCD,McDonald's,Consumer Discretionary
MCK,MCK,McKesson Corporation,Health Care
MDT,MDT,Medtronic,Health Care
MRK,MRK,Merck & Co.,Health Care
META,META,Meta Platforms,Communication Services
MET,MET,MetLife,Financials
MTD,MTD,Mettler Toledo,Health Care
MGM,MGM,MGM Resorts,Consumer Discretionary
MCHP,MCHP,Microchip Technology,Information Technology
MU,MU,Micron Technology,Information Technology
MSFT,MSFT,Microsoft,Information Technology
MAA,MAA,Mid-America Apartment Communities,Real Estate
MRNA,MRNA,Moderna,Health Care
MHK,MHK,Mohawk Industries,Consumer Discretionary
MOH,MOH,Molina Healthcare,Health Care
TAP,TAP,Molson Coors Beverage Company,Consumer Staples
MDLZ,MDLZ,Mondelez International,Consumer Staples
MPWR,MPWR,Monolithic Power Systems,Information Technology
MNST,MNST,Monster Beverage,Consumer Staples
MCO,MCO,Moody's Corporation,Financials
MS,MS,Morgan Stanley,Financials
MOS,MOS,Mosaic Company (The),Materials
MSI,MSI,Motorola Solutions,Information Technology
MSCI,MSCI,MSCI Inc.,Financials
NDAQ,NDAQ,"Nasdaq, Inc.",Financials
NTAP,NTAP,NetApp,Information Technology
NFLX,NFLX,Netflix,Communication Services
NEM,NEM,Newmont,Materials
NWSA,NWSA,News Corp (Class A),Communication Services
NWS,NWS,News Corp (Class B),Communication Services
NEE,NEE,NextEra Energy,Utilities
NKE,NKE,"Nike, Inc.",Consumer Discretionary
NI,NI,NiSource,Utilities
NDSN,NDSN,Nordson Corporation,Industrials
NSC,NSC,Norfolk Southern,Industrials
NTRS,NTRS,Northern Trust,Financials
NOC,NOC,Northrop Grumman,Industrials
NCLH,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
NRG,NRG,NRG Energy,Utilities
NUE,NUE,Nucor,Materials
NVDA,NVDA,Nvidia,Information Technology
NVR,NVR,"NVR, Inc.",Consumer Discretionary
NXPI,NXPI,NXP Semiconductors,Information Technology
ORLY,ORLY,O’Reilly Automotive,Consumer Discretionary
OXY,OXY,Occidental Petroleum,Energy
ODFL,ODFL,Old Dominion,Industrials
OMC,OMC,Omnicom Group,Communication Services
ON,ON,ON Semiconductor,Information Technology
OKE,OKE,Oneok,Energy
ORCL,ORCL,Oracle Corporation,Information Technology
OTIS,OTIS,Otis Worldwide,Industrials
PCAR,PCAR,Paccar,Industrials
PKG,PKG,Packaging Corporation of America,Materials
PLTR,PLTR,Palantir Technologies,Information Technology
PANW,PANW,Palo Alto Networks,Information Technology
PSKY,PSKY,Paramount Skydance Corporation,Communication Services
PH,PH,Parker Hannifin,Industrials
PAYX,PAYX,Paychex,Industrials
PAYC,PAYC,Paycom,Industrials
PYPL,PYPL,PayPal,Financials
PNR,PNR,Pentair,Industrials
PEP,PEP,PepsiCo,Consumer Staples
PFE,PFE,Pfizer,Health Care
PCG,PCG,PG&E Corporation,Utilities
PM,PM,Philip Morris International,Consumer Staples
PSX,PSX,Phillips 66,Energy
PNW,PNW,Pinnacle West Capital,Utilities
PNC,PNC,PNC Financial Services,Financials
POOL,POOL,Pool Corporation,Consumer Discretionary
PPG,PPG,PPG Industries,Materials
PPL,PPL,PPL Corporation,Utilities
PFG,PFG,Principal Financial Group,Financials
PG,PG,Procter & Gamble,Consumer Staples
PGR,PGR,Progressive Corporation,Financials
PLD,PLD,Prologis,Real Estate
PRU,PRU,Prudential Financial,Financials
PEG,PEG,Public Service Enterprise Group,Utilities
PTC,PTC,PTC Inc.,Information Technology
PSA,PSA,Public Storage,Real Estate
PHM,PHM,PulteGroup,Consumer Discretionary
PWR,PWR,Quanta Services,Industrials
QCOM,QCOM,Qualcomm,Information Technology
DGX,DGX,Quest Diagnostics,Health Care
RL,RL,Ralph Lauren Corporation,Consumer Discretionary
RJF,RJF,Raymond James Financial,Financials
RTX,RTX,RTX Corporation,Industrials
O,O,Realty Income,Real Estate
REG,REG,Regency Centers,Real Estate
REGN,REGN,Regeneron Pharmaceuticals,Health Care
RF,RF,Regions Financial Corporation,Financials
RSG,RSG,Republic Services,Industrials
RMD,RMD,ResMed,Health Care
RVTY,RVTY,Revvity,Health Care
ROK,ROK,Rockwell Automation,Industrials
ROL,ROL,"Rollins, Inc.",Industrials
ROP,ROP,Roper Technologies,Information Technology
ROST,ROST,Ross Stores,Consumer Discretionary
RCL,RCL,Royal Caribbean Group,Consumer Discretionary
SPGI,SPGI,S&P Global,Financials
CRM,CRM,Salesforce,Information Technology
SBAC,SBAC,SBA Communications,Real Estate
SLB,SLB,Schlumberger,Energy
STX,STX,Seagate Technology,Information Technology
SRE,SRE,Sempra,Utilities
NOW,NOW,ServiceNow,Information Technology
SHW,SHW,Sherwin-Williams,Materials
SPG,SPG,Simon Property Group,Real Estate
SWKS,SWKS,Skyworks Solutions,Information Technology
SJM,SJM,J.M. Smucker Company (The),Consumer Staples
SW,SW,Smurfit Westrock,Materials
SNA,SNA,Snap-on,Industrials
SOLV,SOLV,Solventum,Health Care
SO,SO,Southern Company,Utilities
LUV,LUV,Southwest Airlines,Industrials
SWK,SWK,Stanley Black & Decker,Industrials
SBUX,SBUX,Starbucks,Consumer Discretionary
STT,STT,State Street Corporation,Financials
STLD,STLD,Steel Dynamics,Materials
STE,STE,Steris,Health Care
SYK,SYK,Stryker Corporation,Health Care
SMCI,SMCI,Supermicro,Information Technology
SYF,SYF,Synchrony Financial,Financials
SNPS,SNPS,Synopsys,Information Technology
SYY,SYY,Sysco,Consumer Staples
TMUS,TMUS,T-Mobile US,Communication Services
TROW,TROW,T. Rowe Price,Financials
TTWO,TTWO,Take-Two Interactive,Communication Services
TPR,TPR,"Tapestry, Inc.",Consumer Discretionary
TRGP,TRGP,Targa Resources,Energy
TGT,TGT,Target Corporation,Consumer Staples
TEL,TEL,TE Connectivity,Information Technology
TDY,TDY,Teledyne Technologies,Information Technology
TER,TER,Teradyne,Information Technology
TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary
TXN,TXN,Texas Instruments,Information Technology
TPL,TPL,Texas Pacific Land Corporation,Energy
TXT,TXT,Textron,Industrials
TMO,TMO,Thermo Fisher Scientific,Health Care
TJX,TJX,TJX Companies,Consumer Discretionary
TKO,TKO,TKO Group Holdings,Communication Services
TTD,TTD,Trade Desk (The),Communication Services
TSCO,TSCO,Tractor Supply,Consumer Discretionary
TT,TT,Trane Technologies,Industrials
TDG,TDG,TransDigm Group,Industrials
TRV,TRV,Travelers Companies (The),Financials
TRMB,TRMB,Trimble Inc.,Information Technology
TFC,TFC,Truist Financial,Financials
TYL,TYL,Tyler Technologies,Information Technology
TSN,TSN,Tyson Foods,Consumer Staples
USB,USB,U.S. Bancorp,Financials
UBER,UBER,Uber,Industrials
UDR,UDR,"UDR, Inc.",Real Estate
ULTA,ULTA,Ulta Beauty,Consumer Discretionary
UNP,UNP,Union Pacific Corporation,Industrials
UAL,UAL,United Airlines Holdings,Industrials
UPS,UPS,United Parcel Service,Industrials
URI,URI,United Rentals,Industrials
UNH,UNH,UnitedHealth Group,Health Care
UHS,UHS,Universal Health Services,Health Care
VLO,VLO,Valero Energy,Energy
VTR,VTR,Ventas,Real Estate
VLTO,VLTO,Veralto,Industrials
VRSN,VRSN,Verisign,Information Technology
VRSK,VRSK,Verisk Analytics,Industrials
VZ,VZ,Verizon,Communication Services
VRTX,VRTX,Vertex Pharmaceuticals,Health Care
VTRS,VTRS,Viatris,Health Care
VICI,VICI,Vici Properties,Real Estate
V,V,Visa Inc.,Financials
VST,VST,Vistra Corp.,Utilities
VMC,VMC,Vulcan Materials Company,Materials
WRB,WRB,W. R. Berkley Corporation,Financials
GWW,GWW,W. W. Grainger,Industrials
WAB,WAB,Wabtec,Industrials
WBA,WBA,Walgreens Boots Alliance,Consumer Staples
WMT,WMT,Walmart,Consumer Staples
DIS,DIS,Walt Disney Company (The),Communication Services
WBD,WBD,Warner Bros. Discovery,Communication Services
WM,WM,Waste Management,Industrials
WAT,WAT,Waters Corporation,Health Care
WEC,WEC,WEC Energy Group,Utilities
WFC,WFC,Wells Fargo,Financials
WELL,WELL,Welltower,Real Estate
WST,WST,West Pharmaceutical Services,Health Care
WDC,WDC,Western Digital,Information Technology
WY,WY,Weyerhaeuser,Real Estate
WSM,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary
WMB,WMB,Williams Companies,Energy
WTW,WTW,Willis Towers Watson,Financials
WDAY,WDAY,"Workday, Inc.",Information Technology
WYNN,WYNN,Wynn Resorts,Consumer Discretionary
XEL,XEL,Xcel Energy,Utilities
XYL,XYL,Xylem Inc.,Industrials
YUM,YUM,Yum! Brands,Consumer Discretionary
ZBRA,ZBRA,Zebra Technologies,Information Technology
ZBH,ZBH,Zimmer Biomet,Health Care
ZTS,ZTS,Zoetis,Health Care
