Symbol,Company Name
ASTE,Astec Industries Inc. Common Stock
ASTH,Astrana Health Inc. Common Stock
ASTI,Ascent Solar Technologies Inc. Common Stock
ASTL,Algoma Steel Group Inc. Common Shares
ASTLW,Algoma Steel Group Inc. Warrant
ASTS,AST SpaceMobile Inc. Class A Common Stock
ASUR,Asure Software Inc Common Stock
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) 
ASYS,Amtech Systems Inc. Common Stock
ATAI,ATAI Life Sciences N.V. Common Shares
ATAT,Atour Lifestyle Holdings Limited American Depositary Shares
ATCH,AtlasClear Holdings Inc. Common Stock
ATEC,Alphatec Holdings Inc. Common Stock
ATEN,A10 Networks Inc. Common Stock
ATER,Aterian Inc. Common Stock
ATEX,Anterix Inc. Common Stock
ATGE,Adtalem Global Education Inc. Common Stock
ATGL,Alpha Technology Group Limited Class A Ordinary Shares
ATHA,Athira Pharma Inc. Common Stock
ATHE,Alterity Therapeutics Limited American Depositary Shares
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.
ATHR,Aether Holdings Inc. Common Stock
ATHS,Athene Holding Ltd. 7.250% Fixed-Rate Reset Junior Subordinated Debentures due 2064
ATH^A,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A
ATH^B,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share
ATH^D,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D
ATH^E,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.750% Fixed-Rate Reset Perpetual Non-Cumulative Preference Share Series E
ATI,ATI Inc. Common Stock
ATII,Archimedes Tech SPAC Partners II Co. Ordinary Shares
ATIIU,Archimedes Tech SPAC Partners II Co. Unit
ATIIW,Archimedes Tech SPAC Partners II Co. Warrant
ATKR,Atkore Inc. Common Stock
ATLC,Atlanticus Holdings Corporation Common Stock
ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026
ATLCP,Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock no par value per share
ATLCZ,Atlanticus Holdings Corporation 9.25% Senior Notes due 2029
ATLN,Atlantic International Corp. Common Stock
ATLO,Ames National Corporation Common Stock
ATLX,Atlas Lithium Corporation Common Stock
ATMC,AlphaTime Acquisition Corp Ordinary Shares
ATMCR,AlphaTime Acquisition Corp Right
ATMCU,AlphaTime Acquisition Corp Unit
ATMCW,AlphaTime Acquisition Corp Warrant
ATMU,Atmus Filtration Technologies Inc. Common Stock
ATMV,AlphaVest Acquisition Corp Ordinary Shares
ATMVR,AlphaVest Acquisition Corp Right.
ATNF,180 Life Sciences Corp. Common Stock
ATNFW,180 Life Sciences Corp. Warrant
ATNI,ATN International Inc. Common Stock
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock
ATO,Atmos Energy Corporation Common Stock
ATOM,Atomera Incorporated Common Stock
ATOS,Atossa Therapeutics Inc. Common Stock
ATPC,Agape ATP Corporation Common Stock
ATR,AptarGroup Inc. Common Stock
ATRA,Atara Biotherapeutics Inc. Common Stock
ATRC,AtriCure Inc. Common Stock
ATRO,Astronics Corporation Common Stock
ATS,ATS Corporation Common Shares
ATUS,Altice USA Inc. Class A Common Stock
ATXG,Addentax Group Corp. Common Stock
ATXS,Astria Therapeutics Inc. Common Stock
ATYR,aTyr Pharma Inc. Common Stock
AU,AngloGold Ashanti PLC Ordinary Shares
AUB,Atlantic Union Bankshares Corporation Common Stock
AUBN,Auburn National Bancorporation Inc. Common Stock
AUB^A,Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock Series A
AUDC,AudioCodes Ltd. Common Stock
AUGO,Aura Minerals Inc. Common Shares
AUID,authID Inc. Common Stock
AUNA,Auna SA Class A Ordinary Shares
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares
AUR,Aurora Innovation Inc. Class A Common Stock
AURA,Aura Biosciences Inc. Common Stock
AUROW,Aurora Innovation Inc. Warrant
AUST,Austin Gold Corp. Common Shares
AUTL,Autolus Therapeutics plc American Depositary Share
AUUD,Auddia Inc. Common Stock
AUUDW,Auddia Inc. Warrants
AVA,Avista Corporation Common Stock
AVAH,Aveanna Healthcare Holdings Inc. Common Stock
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares)
AVAV,AeroVironment Inc. Common Stock
AVB,AvalonBay Communities Inc. Common Stock
AVBC,Avidia Bancorp Inc. Common Stock
AVBH,Avidbank Holdings Inc. Common stock
AVBP,ArriVent BioPharma Inc. Common Stock
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value)
AVDL,Avadel Pharmaceuticals plc Ordinary Share
AVDX,AvidXchange Holdings Inc. Common Stock
AVGO,Broadcom Inc. Common Stock
AVIR,Atea Pharmaceuticals Inc. Common Stock
AVK,Advent Convertible and Income Fund
AVNS,Avanos Medical Inc. Common Stock
AVNT,Avient Corporation Common Stock
AVNW,Aviat Networks Inc. Common Stock
AVO,Mission Produce Inc. Common Stock
AVPT,AvePoint Inc. Class A Common Stock
AVR,Anteris Technologies Global Corp. Common Stock
AVT,Avnet Inc. Common Stock
AVTR,Avantor Inc. Common Stock
AVTX,Avalo Therapeutics Inc. Common Stock
AVXL,Anavex Life Sciences Corp. Common Stock
AVY,Avery Dennison Corporation Common Stock
AWF,Alliancebernstein Global High Income Fund
AWI,Armstrong World Industries Inc Common Stock
AWK,American Water Works Company Inc. Common Stock
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest
AWR,American States Water Company Common Stock
AWRE,Aware Inc. Common Stock
AWX,Avalon Holdings Corporation Common Stock
AX,Axos Financial Inc. Common Stock
AXGN,Axogen Inc. Common Stock
AXIL,AXIL Brands Inc. Common Stock
AXIN,Axiom Intelligence Acquisition Corp 1 Class A Ordinary Shares
AXINU,Axiom Intelligence Acquisition Corp 1 Units
AXL,American Axle & Manufacturing Holdings Inc. Common Stock
AXON,Axon Enterprise Inc. Common Stock
AXP,American Express Company Common Stock
AXR,AMREP Corporation Common Stock
AXS,Axis Capital Holdings Limited Common Stock
AXSM,Axsome Therapeutics Inc. Common Stock
AXS^E,Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares
AXTA,Axalta Coating Systems Ltd. Common Shares
AXTI,AXT Inc Common Stock
AYI,Acuity Inc. Common Stock
AYRO,AYRO Inc. Common Stock
AYTU,Aytu BioPharma Inc.  Common Stock
AZ,A2Z Cust2Mate Solutions Corp. Common Shares
AZI,Autozi Internet Technology (Global) Ltd. Class A Ordinary Shares
AZN,AstraZeneca PLC American Depositary Shares
AZO,AutoZone Inc. Common Stock
AZTA,Azenta Inc.
AZTR,Azitra Inc Common Stock
AZZ,AZZ Inc.
B,Barrick Mining Corporation Common Shares
BA,Boeing Company (The) Common Stock
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share
BAC,Bank of America Corporation Common Stock
BACC,Blue Acquisition Corp. Class A Ordinary Shares
BACCU,Blue Acquisition Corp. Unit
BACQ,Bleichroeder Acquisition Corp. I Class A Ordinary Shares
BAC^B,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG
BAC^E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E
BAC^K,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH
BAC^L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L
BAC^M,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK
BAC^N,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL
BAC^O,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN
BAC^P,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP
BAC^Q,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.250% Non-Cumulative Preferred Stock Series QQ
BAC^S,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.750% Non-Cumulative Preferred Stock Series SS
BAER,Bridger Aerospace Group Holdings Inc. Common Stock
BAERW,Bridger Aerospace Group Holdings Inc. Warrant
BAFN,BayFirst Financial Corp. Common Stock
BAH,Booz Allen Hamilton Holding Corporation Common Stock
BAK,Braskem SA ADR
BALL,Ball Corporation Common Stock
BALY,Bally's Corporation Common Stock
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares
BANC,Banc of California Inc. Common Stock
BAND,Bandwidth Inc. Class A Common Stock
BANF,BancFirst Corporation Common Stock
BANFP,BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities
BANL,CBL International Limited Ordinary Shares
BANR,Banner Corporation Common Stock
BANX,ArrowMark Financial Corp. Common Stock
BAOS,Baosheng Media Group Holdings Limited Ordinary shares
BAP,Credicorp Ltd. Common Stock
BARK,BARK Inc. Class A Common Stock
BASE,Couchbase Inc. Common Stock
BATL,Battalion Oil Corporation Common Stock
BATRA,Atlanta Braves Holdings Inc. Series A Common Stock
BATRK,Atlanta Braves Holdings Inc. Series C Common Stock
BAX,Baxter International Inc. Common Stock
BAYA,Bayview Acquisition Corp Ordinary Shares
BAYAR,Bayview Acquisition Corp Right
BA^A,Boeing Company (The) Depositary Shares each representing a 1/20th interest in a share of 6.00% Series A Mandatory Convertible Preferred Stock par value $1.00
BB,BlackBerry Limited Common Stock
BBAI,BigBear.ai Inc. Common Stock
BBAR,Banco BBVA Argentina S.A. ADS
BBCP,Concrete Pumping Holdings Inc. Common Stock
BBD,Banco Bradesco Sa American Depositary Shares
BBDC,Barings BDC Inc. Common Stock
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share)
BBGI,Beasley Broadcast Group Inc. Class A Common Stock
BBIO,BridgeBio Pharma Inc. Common Stock
BBLG,Bone Biologics Corp Common Stock
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest
BBNX,Beta Bionics Inc. Common Stock
BBSI,Barrett Business Services Inc. Common Stock
BBU,Brookfield Business Partners L.P. Limited Partnership Units 
BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock
BBW,Build-A-Bear Workshop Inc. Common Stock
BBWI,Bath & Body Works Inc.
BBY,Best Buy Co. Inc. Common Stock
BC,Brunswick Corporation Common Stock
BCAB,BioAtla Inc. Common Stock
BCAL,California BanCorp Common Stock
BCARU,D. Boral ARC Acquisition I Corp. Units
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest
BCAX,Bicara Therapeutics Inc. Common Stock
BCBP,BCB Bancorp Inc. (NJ) Common Stock
BCC,Boise Cascade L.L.C. Common Stock
BCDA,BioCardia Inc. Common Stock
BCE,BCE Inc. Common Stock
BCG,Binah Capital Group Inc. Common Stock
BCH,Banco De Chile ADS
BCML,BayCom Corp Common Stock
BCO,Brinks Company (The) Common Stock
BCPC,Balchem Corporation Common Stock
BCRX,BioCryst Pharmaceuticals Inc. Common Stock
BCS,Barclays PLC Common Stock
BCSF,Bain Capital Specialty Finance Inc. Common Stock
BCTX,BriaCell Therapeutics Corp. Common Shares
BCTXW,BriaCell Therapeutics Corp. Warrant
BCTXZ,BriaCell Therapeutics Corp. Warrant
BCV,Bancroft Fund Ltd.
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares
BCX,BlackRock Resources Common Shares of Beneficial Interest
BCYC,Bicycle Therapeutics plc American Depositary Shares
BC^A,Brunswick Corporation 6.500% Senior Notes due 2048
BC^C,Brunswick Corporation 6.375% Notes due 2049
BDC,Belden Inc Common Stock
BDJ,Blackrock Enhanced Equity Dividend Trust
BDL,Flanigan's Enterprises Inc. Common Stock
BDMD,Baird Medical Investment Holdings Ltd Ordinary Share
BDMDW,Baird Medical Investment Holdings Ltd Warrant
BDN,Brandywine Realty Trust Common Stock
BDRX,Biodexa Pharmaceuticals plc American Depositary Shs
BDSX,Biodesix Inc. Common Stock
BDTX,Black Diamond Therapeutics Inc. Common Stock
BDX,Becton Dickinson and Company Common Stock
BE,Bloom Energy Corporation Class A Common Stock
BEAG,Bold Eagle Acquisition Corp. Class A Ordinary Shares
BEAM,Beam Therapeutics Inc. Common Stock
BEAT,Heartbeam Inc. Common Stock
BEATW,Heartbeam Inc. Warrant
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing four Class A Ordinary Share
BEEM,Beam Global Common Stock
BEEP,Mobile Infrastructure Corporation Common Stock
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)
BELFA,Bel Fuse Inc. Class A Common Stock
BELFB,Bel Fuse Inc. Class B Common Stock
BEN,Franklin Resources Inc. Common Stock
BENF,Beneficient Class A Common Stock
BENFW,Beneficient Warrant
BEP,Brookfield Renewable Partners L.P. Limited Partnership Units
BEPC,Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes
BEPJ,Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes
BEP^A,Brookfield Renewable Partners L.P. 5.25% Class A Preferred Limited Partnership Units Series 17
BETR,Better Home & Finance Holding Company Class A Common Stock
BF/A,Brown Forman Corporation
BF/B,Brown Forman Corporation
BFAM,Bright Horizons Family Solutions Inc. Common Stock
BFC,Bank First Corporation Common Stock
BFH,Bread Financial Holdings Inc. Common Stock
BFIN,BankFinancial Corporation Common Stock
BFK,BlackRock Municipal Income Trust
BFLY,Butterfly Network Inc. Class A Common Stock
BFRG,Bullfrog AI Holdings Inc. Common Stock
BFRGW,Bullfrog AI Holdings Inc. Warrants
BFRI,Biofrontera Inc. Common Stock
BFS,Saul Centers Inc. Common Stock
BFST,Business First Bancshares Inc. Common Stock
BFS^D,Saul Centers Inc. Depositary Shares each representing 1/100th of a share of 6.125% Series D Cumulative Redeemable Preferred Stock
BFS^E,Saul Centers Inc. Depositary shares each representing a 1/100th fractional interest in a share of 6.000% Series E Cumulative Redeemable Preferred Stock
BFZ,BlackRock California Municipal Income Trust
BG,Bunge Limited Common Shares
BGB,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest
BGC,BGC Group Inc. Class A Common Stock
BGFV,Big 5 Sporting Goods Corporation Common Stock
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests
BGI,Birks Group Inc. Common Stock
BGL,Blue Gold Limited Class A Ordinary Shares
BGLC,BioNexus Gene Lab Corp Common stock
BGLWW,Blue Gold Limited Warrant
BGM,BGM Group Ltd. Class A Ordinary Shares
BGR,BlackRock Energy and Resources Trust
BGS,B&G Foods Inc. Common Stock
BGSF,BGSF Inc. Common Stock
BGT,BlackRock Floating Rate Income Trust
BGX,Blackstone Long Short Credit Income Fund Common Shares
BGY,Blackrock Enhanced International Dividend Trust
BH,Biglari Holdings Inc. Class B Common Stock
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares
BHB,Bar Harbor Bankshares Inc. Common Stock
BHC,Bausch Health Companies Inc. Common Stock
BHE,Benchmark Electronics Inc. Common Stock
BHF,Brighthouse Financial Inc. Common Stock
BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058
BHFAM,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock Series D
BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C
BHFAO,Brighthouse Financial Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock Series B
BHFAP,Brighthouse Financial Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock Series A
BHK,Blackrock Core Bond Trust
BHLB,Berkshire Hills Bancorp Inc. Common Stock
BHM,Bluerock Homes Trust Inc. Class A Common Stock
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)
BHR,Braemar Hotels & Resorts Inc. Common Stock
BHRB,Burke & Herbert Financial Services Corp. Common Stock
BHR^B,Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share
BHR^D,Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock  par value $0.01 per share
BHST,BioHarvest Sciences Inc. Common Stock
BHV,BlackRock Virginia Municipal Bond Trust
BHVN,Biohaven Ltd. Common Shares 
BIAF,bioAffinity Technologies Inc. Common Stock
BIAFW,bioAffinity Technologies Inc. Warrant
BIDU,Baidu Inc. ADS
BIIB,Biogen Inc. Common Stock
BILI,Bilibili Inc. American Depositary Shares
BILL,BILL Holdings Inc. Common Stock
BINI,Bollinger Innovations Inc. Common Stock
BIO,Bio-Rad Laboratories Inc. Class A Common Stock
BIO/B,Bio-Rad Laboratories Inc.
BIOA,BioAge Labs Inc. Common Stock
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units
BIPC,Brookfield Infrastructure Corporation Brookfield Infrastructure Corporation
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081
BIPI,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes
BIPJ,Brookfield Infrastructure Corporation 7.250% Subordinated Notes due 2084
BIP^A,Brookfield Infrastructure Partners LP 5.125% Class A Preferred Limited Partnership Units Series 13
BIP^B,Brookfield Infrastructure Partners LP 5.000% Class A Preferred Limited Partnership Units Series 14
BIRD,Allbirds Inc. Class A Common Stock
BIRK,Birkenstock Holding plc Ordinary Shares
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest
BITF,Bitfarms Ltd. Common Stock
BIVI,BioVie Inc. Class A Common Stock
BIVIW,BioVie Inc. Warrant
BIYA,Baiya International Group Inc. Ordinary Shares
BJ,BJ's Wholesale Club Holdings Inc. Common Stock
BJDX,Bluejay Diagnostics Inc. Common Stock
BJRI,BJ's Restaurants Inc. Common Stock
BK,The Bank of New York Mellon Corporation Common Stock
BKD,Brookdale Senior Living Inc. Common Stock
BKE,Buckle Inc. (The) Common Stock
BKH,Black Hills Corporation Common Stock
BKHA,Black Hawk Acquisition Corporation Class A Ordinary Shares
BKHAR,Black Hawk Acquisition Corporation Rights
BKKT,Bakkt Holdings Inc. Class A Common Stock
BKN,BlackRock Investment Quality Municipal Trust Inc. (The)
BKNG,Booking Holdings Inc. Common Stock
BKR,Baker Hughes Company Class A Common Stock
BKSY,BlackSky Technology Inc. Class A Common Stock
BKT,BlackRock Income Trust Inc. (The)
BKTI,BK Technologies Corporation Common Stock
BKU,BankUnited Inc. Common Stock
BKV,BKV Corporation Common Stock
BKYI,BIO-key International Inc. Common Stock
BK^K,The Bank Of New York Mellon Corporation  Depositary Shares each representing a 1/4000th interest in a share of Series K Noncumulative Perpetual Preferred Stock
BL,BlackLine Inc. Common Stock
BLBD,Blue Bird Corporation Common Stock
BLBX,Blackboxstocks Inc. Common Stock
BLCO,Bausch + Lomb Corporation Common Shares
BLD,TopBuild Corp. Common Stock
BLDE,Blade Air Mobility Inc. Class A Common Stock
BLDEW,Blade Air Mobility Inc. Warrants
BLDP,Ballard Power Systems Inc. Common Shares
BLDR,Builders FirstSource Inc. Common Stock
BLE,BlackRock Municipal Income Trust II
BLFS,BioLife Solutions Inc. Common Stock
BLFY,Blue Foundry Bancorp Common Stock
BLIN,Bridgeline Digital Inc. Common Stock
BLIV,BeLive Holdings Ordinary Share
BLK,BlackRock Inc. Common Stock
BLKB,Blackbaud Inc. Common Stock
BLMN,Bloomin' Brands Inc. Common Stock
BLMZ,BloomZ Inc. Ordinary Shares
BLND,Blend Labs Inc. Class A Common Stock
BLNE,Beeline Holdings Inc. Common Stock
BLNK,Blink Charging Co. Common Stock
BLRX,BioLineRx Ltd. American Depositary Shares
BLTE,Belite Bio Inc American Depositary Shares
BLUW,Blue Water Acquisition Corp. III Class A Ordinary Shares
BLUWU,Blue Water Acquisition Corp. III Unit.
BLUWW,Blue Water Acquisition Corp. III Warrant.
BLW,Blackrock Limited Duration Income Trust
BLX,Banco Latinoamericano de Comercio Exterior S.A.
BLZE,Backblaze Inc. Class A Common Stock
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares)
BMBL,Bumble Inc. Class A Common Stock
BME,Blackrock Health Sciences Trust
BMEA,Biomea Fusion Inc. Common Stock
BMEZ,BlackRock Health Sciences Term Trust Common Shares of Beneficial Interest
BMGL,Basel Medical Group Ltd Ordinary Shares
BMHL,Bluemount Holdings Limited Class B Ordinary Shares
BMI,Badger Meter Inc. Common Stock
BML^G,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock  Series 1)
BML^H,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 2)
BML^J,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 4)
BML^L,Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 5)
BMN,BlackRock 2037 Municipal Target Term Trust Common Shares of Beneficial Interest
BMNR,BitMine Immersion Technologies Inc. Common Stock
BMO,Bank Of Montreal Common Stock
BMR,Beamr Imaging Ltd. Ordinary Share
BMRA,Biomerica Inc. Common Stock
BMRC,Bank of Marin Bancorp Common Stock
BMRN,BioMarin Pharmaceutical Inc. Common Stock
BMY,Bristol-Myers Squibb Company Common Stock
BN,Brookfield Corporation Class A Limited Voting Shares
BNAI,Brand Engagement Network Inc. Common Stock
BNC,CEA Industries Inc. Common Stock
BNCWW,CEA Industries Inc. Warrant
BNED,Barnes & Noble Education Inc Common Stock
BNGO,Bionano Genomics Inc. Common Stock
BNH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080
BNJ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes
BNL,Broadstone Net Lease Inc. Common Stock
BNR,Burning Rock Biotech Limited American Depositary Shares
BNRG,Brenmiller Energy Ltd Ordinary Shares
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares
BNT,Brookfield Wealth Solutions Ltd. Class A Exchangeable Limited Voting Shares
BNTC,Benitec Biopharma Inc. Common Stock
BNTX,BioNTech SE American Depositary Share
BNY,BlackRock New York Municipal Income Trust
BNZI,Banzai International Inc. Class A Common Stock
BNZIW,Banzai International Inc. Warrant
BOC,Boston Omaha Corporation Class A Common Stock
BODI,The Beachbody Company Inc. Class A Common Stock
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest
BOF,BranchOut Food Inc. Common Stock
BOH,Bank of Hawaii Corporation Common Stock
BOH^A,Bank of Hawaii Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 4.375% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A
BOH^B,Bank of Hawaii Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 8.000% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series B
BOKF,BOK Financial Corporation Common Stock
BOLD,Boundless Bio Inc. Common Stock
BOLT,Bolt Biotherapeutics Inc. Common Stock
BON,Bon Natural Life Limited Class A Ordinary Shares
BOOM,DMC Global Inc. Common Stock
BOOT,Boot Barn Holdings Inc. Common Stock
BORR,Borr Drilling Limited Common Shares
BOSC,B.O.S. Better Online Solutions Common Stock
BOTJ,Bank of the James Financial Group Inc. Common Stock
BOW,Bowhead Specialty Holdings Inc. Common Stock
BOX,Box Inc. Class A Common Stock
BOXL,Boxlight Corporation Class A Common Stock
BP,BP p.l.c. Common Stock
BPOP,Popular Inc. Common Stock
BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities
BPRN,Princeton Bancorp Inc. Common Stock (PA)
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units
BQ,Boqii Holding Limited Class A Ordinary Shares
BR,Broadridge Financial Solutions Inc. Common Stock
BRAG,Bragg Gaming Group Inc. Common Shares
BRBR,BellRing Brands Inc. Common Stock 
BRBS,Blue Ridge Bankshares Inc. Common Stock
BRC,Brady Corporation Common Stock
BRCC,BRC Inc. Class A Common Stock
BRDG,Bridge Investment Group Holdings Inc. Class A Common Stock
BREA,Brera Holdings PLC Class B Ordinary Shares
BRFH,Barfresh Food Group Inc. Common Stock
BRFS,BRF S.A.
BRIA,BrilliA Inc Class A Ordinary Shares
BRID,Bridgford Foods Corporation Common Stock
BRK/A,Berkshire Hathaway Inc.
BRK/B,Berkshire Hathaway Inc.
BRKL,Brookline Bancorp Inc. Common Stock
BRKR,Bruker Corporation Common Stock
BRLS,Borealis Foods Inc. Class A Common Shares
BRLT,Brilliant Earth Group Inc. Class A Common Stock
BRN,Barnwell Industries Inc. Common Stock
BRNS,Barinthus Biotherapeutics plc American Depositary Shares
BRO,Brown & Brown Inc. Common Stock
BROS,Dutch Bros Inc. Class A Common Stock
BRR,Columbus Circle Capital Corp I Class A Ordinary Shares
BRRWU,Columbus Circle Capital Corp I Units
BRRWW,Columbus Circle Capital Corp I Warrant
BRSL,Brightstar Lottery PLC Trading under the Legal Name to begin at the market open on July 21 2025. Ordinary Shares
BRSP,BrightSpire Capital Inc. Class A Common Stock
BRT,BRT Apartments Corp. (MD) Common Stock
